"","Sample.name","Sex","Biosample.ID","Population.code","Population.name","Superpopulation.code","Superpopulation.name","Population.elastic.ID","Data.collections"
"145","HG00699","female","SAME123165","CHS","Southern Han Chinese","EAS","East Asian Ancestry","CHS","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,90 Han Chinese high coverage genomes"
"168","HG00701","male","SAME122931","CHS","Southern Han Chinese","EAS","East Asian Ancestry","CHS","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2012","HG00705","female","SAME122927","CHS","Southern Han Chinese","EAS","East Asian Ancestry","CHS","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"149","HG00707","male","SAME122929","CHS","Southern Han Chinese","EAS","East Asian Ancestry","CHS","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"1947","HG00708","female","SAME122940","CHS","Southern Han Chinese","EAS","East Asian Ancestry","CHS","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2016","HG00717","female","SAME124926","CHS","Southern Han Chinese","EAS","East Asian Ancestry","CHS","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"1887","HG00729","female","SAME1840273","CHS","Southern Han Chinese","EAS","East Asian Ancestry","CHS","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"1891","HG00731","male","SAME125390","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,The Human Genome Structural Variation Consortium,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"150","HG00732","female","SAME125396","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,The Human Genome Structural Variation Consortium,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2115","HG00734","female","SAME123016","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"1895","HG00736","male","SAME123058","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"152","HG00737","female","SAME125416","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2119","HG00739","male","SAME125113","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"114","HG00740","female","SAME124834","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"1899","HG00743","female","SAME1840184","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"1902","HG00844","male","SAME123952","CDX","Dai Chinese","EAS","East Asian Ancestry","CDX","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"1905","HG00851","female","SAME123756","CDX","Dai Chinese","EAS","East Asian Ancestry","CDX","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"154","HG00864","female","SAME123547","CDX","Dai Chinese","EAS","East Asian Ancestry","CDX","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release"
"116","HG00978","female","SAME124727","CDX","Dai Chinese","EAS","East Asian Ancestry","CDX","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"2043","HG01028","male","SAME123524","CDX","Dai Chinese","EAS","East Asian Ancestry","CDX","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"181","HG01046","female","SAME123167","CDX","Dai Chinese","EAS","East Asian Ancestry","CDX","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"2047","HG01047","male","SAME123166","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2052","HG01049","female","SAME125248","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2056","HG01051","male","SAME123712","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"254","HG01052","female","SAME123368","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2051","HG01054","male","SAME123663","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"185","HG01058","female","SAME1840086","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"187","HG01060","male","SAME123015","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2055","HG01061","female","SAME122821","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2064","HG01063","male","SAME1839767","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"256","HG01064","female","SAME1839759","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"2059","HG01066","male","SAME124294","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"258","HG01069","male","SAME122825","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2072","HG01070","female","SAME123993","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"189","HG01072","male","SAME124091","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2063","HG01073","female","SAME124095","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2076","HG01075","male","SAME124071","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"191","HG01077","female","SAME1839581","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"2067","HG01080","female","SAME125333","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2080","HG01082","male","SAME125398","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"262","HG01083","female","SAME125397","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2071","HG01085","male","SAME125391","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"190","HG01088","male","SAME1839361","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"165","HG01089","female","SAME1839432","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"2011","HG01092","female","SAME1839489","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"1912","HG01094","male","SAME122925","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"194","HG01095","female","SAME122926","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2015","HG01097","male","SAME122924","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"1920","HG01102","female","SAME123678","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"169","HG01104","male","SAME123672","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2023","HG01105","female","SAME123673","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"1924","HG01107","male","SAME123675","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"198","HG01108","female","SAME123103","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"200","HG01110","male","SAME123487","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"173","HG01111","female","SAME123486","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2027","HG01112","male","SAME123485","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"1932","HG01119","female","SAME1840402","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"1936","HG01121","male","SAME1840127","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"202","HG01122","female","SAME1840203","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"2031","HG01124","male","SAME124053","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"177","HG01130","male","SAME1839995","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"2035","HG01131","female","SAME1839985","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"1944","HG01133","male","SAME123884","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"204","HG01134","female","SAME123887","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2039","HG01136","male","SAME123889","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"206","HG01139","male","SAME123876","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"1952","HG01140","female","SAME124422","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"118","HG01142","male","SAME1839731","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"1951","HG01148","male","SAME124424","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"120","HG01161","male","SAME1839615","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"1959","HG01162","female","SAME1839707","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"2088","HG01164","male","SAME1839690","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"1963","HG01167","male","SAME124798","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2096","HG01171","female","SAME124622","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"121","HG01173","male","SAME124624","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"1967","HG01174","female","SAME124619","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2100","HG01176","male","SAME124621","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"176","HG01177","female","SAME124620","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2104","HG01183","female","SAME124792","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2108","HG01188","female","SAME124927","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2112","HG01190","male","SAME123654","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"182","HG01191","female","SAME123651","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"124","HG01197","male","SAME124237","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"1971","HG01198","female","SAME125228","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"125","HG01200","male","SAME1840109","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"184","HG01204","male","SAME124297","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"127","HG01205","female","SAME124296","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2120","HG01241","male","SAME125065","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"186","HG01242","female","SAME125064","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"188","HG01247","male","SAME125067","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"131","HG01248","female","SAME125058","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"133","HG01250","male","SAME125281","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"1983","HG01251","female","SAME125282","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2124","HG01253","male","SAME125284","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"240","HG01254","female","SAME125285","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2131","HG01256","male","SAME125287","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"242","HG01259","male","SAME125280","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2132","HG01260","female","SAME122815","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2136","HG01272","female","SAME122996","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2135","HG01275","female","SAME123002","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2140","HG01277","male","SAME123000","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"250","HG01280","male","SAME1839113","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"213","HG01281","female","SAME1839107","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"2144","HG01284","female","SAME1839191","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"215","HG01286","male","SAME1839176","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"2139","HG01302","male","SAME1840038","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"252","HG01305","male","SAME1840020","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"2148","HG01311","male","SAME1839796","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"224","HG01312","female","SAME1839791","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"2152","HG01323","female","SAME1839534","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"195","HG01325","male","SAME1839604","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"1987","HG01326","female","SAME1839598","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"2156","HG01342","female","SAME124856","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"197","HG01344","male","SAME124862","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"1991","HG01345","female","SAME124863","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"230","HG01348","female","SAME124864","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"232","HG01350","male","SAME124684","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"201","HG01351","female","SAME124683","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2164","HG01354","female","SAME124680","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"203","HG01356","male","SAME124682","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"1999","HG01357","female","SAME124681","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2168","HG01359","male","SAME124687","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"236","HG01362","male","SAME1839066","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"205","HG01363","female","SAME1839059","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"2176","HG01366","female","SAME125265","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2007","HG01369","female","SAME1839124","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"310","HG01374","male","SAME124291","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"293","HG01375","female","SAME124290","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2236","HG01378","female","SAME124076","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2079","HG01383","male","SAME122971","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2083","HG01390","female","SAME122805","CLM","Colombian","AMR","American Ancestry","CLM","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"2244","HG01392","male","SAME1840234","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"314","HG01393","female","SAME1840222","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"2087","HG01395","male","SAME1840207","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"316","HG01398","male","SAME1839950","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"297","HG01402","male","SAME1839873","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"2091","HG01403","female","SAME1839867","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"2252","HG01405","male","SAME1839863","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"2256","HG01412","male","SAME1839619","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"274","HG01413","male","SAME1839612","PUR","Puerto Rican","AMR","American Ancestry","PUR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
